identity	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
novosphingobium subarcticum	0	0	0	0.0011185181871057223390452300	0.0023916578972543767339519800	0.0582791337389561041564678200	0.3695747580440255930519945500	0
levilinea saccharolytica	0	0	0	0	0	0	0.0993232162243318781327235300	0
dolosigranulum pigrum	0	0.0096181590843512551697605100	0	0	0	0	0	0.0242441034876874588716101500
reyranella spp.	0	0	0	0.0011185181871057223390452300	0.0023916578972543767339519800	0.0163181574469077091638109900	0.4850668699327835908807428500	0
haemophilus influenzae	0.0471574534975111343987424700	0	0	0	0	0	0	0
jeotgalicoccus halotolerans	0	0.0384726363374050206790420300	0	0	0	0	0	0
methylobacterium sp.	0	0	0	0	0	0.0116558267477912208312935600	0	0
moorella spp.	0	0	0	0.0022370363742114446780904700	0	0	0.1108724274132076779155983600	0
actinomyces johnsonii	0.0104794341105580298663872200	0	0.0035734705546026300743281900	0	0.009566631589017506935807900	0.0046623306991164883325174300	0.0716051093710299586538239400	0
lactobacillus gallinarum	0	0.0192363181687025103395210200	0.0357347055460263007432818800	0.006711109122634334034271400	0.0645747632258681718167033400	0	0	0.04502476361999099504727600
nocardioides caeni	0.0104794341105580298663872200	0	0	0	0.0023916578972543767339519800	0	0	0
thermoactinomycetaceae	0	0.0769452726748100413580840600	0	0	0	0	0	0
burkholderiaceae	0.0052397170552790149331936100	0.0096181590843512551697605100	0	0	0.0358748684588156510092796300	0	0.0115492111888757997828748300	0.0103903300661517680878329200
rodentia	0	0	0	0	0	0.0093246613982329766650348500	0	0
pseudomonas putida	0.0209588682211160597327744300	0.0480907954217562758488025400	0	0.006711109122634334034271400	0.2678656844924901942026212600	0.1422010863230528941417814800	0.5936294551082161088397662400	0.0623419803969106085269975400
salinisphaera spp.	0	0.0096181590843512551697605100	0	0	0.0023916578972543767339519800	0.090915448632771522484089800	0	0.0207806601323035361756658500
bifidobacterium thermophilum	0	0.0384726363374050206790420300	0.0821898227558604917095483100	0.0078296273097400563733166300	0.0573997895341050416148474100	0.0256428188451406858288458400	1.7439308895202457672140992800	0.0069268867107678453918886200
sphingopyxis sp.	0	0	0	0.0011185181871057223390452300	0	0	0.1432102187420599173076478900	0
corynebacterium kroppenstedtii	0	0.0288544772530537655092815200	0.0035734705546026300743281900	0	0.0430498421505787812111355600	0	0	0
terrimonas spp.	0	0	0	0	0.0023916578972543767339519800	0	0.1824775367842376365694223100	0
cryomorphaceae	0.0314383023316740895991616500	0	0	0.003355554561317167017135700	0	0	0.1686184833575866768299725100	0
xanthomonas	0	0	0.05717552887364208118925100	0	0	0	0	0
flavisolibacter spp.	0	0	0	0.0011185181871057223390452300	0.0908830000956663158901750700	0	0.4642782897928071512715681500	0
eubacterium spp.	0	0	0	0	0.0286998947670525208074237100	0	0	0
photobacterium phosphoreum	0	0	0	0	0	0.0396298109424901508263981200	0	0
pinus taeda	0	0	0	0	0	0	0	0.0415613202646070723513316900
alkalibacterium iburiense	0	0	0	0	0	0.0326363148938154183276219800	0	0
blastococcus aggregatus	0	0	0	0	0	0.0069934960486747324987761400	0	0.0103903300661517680878329200
desulfuromonadales	0	0	0	0.0011185181871057223390452300	0	0.0023311653495582441662587100	0.1432102187420599173076478900	0
cytophaga spp.	0	0	0.0035734705546026300743281900	0	0.0023916578972543767339519800	0	0.2448432772041669553969463900	0
