species	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
methylothermus spp.	0	0	0	0	0	0	0.0185787273571760334417092400	0
alkalibacter spp.	0	0	0	0.0011203352042931245028512500	0	0.0070010034771650603253132900	0.3274500696702275894101254100	0
prevotella spp.	0	0.0542005420054200542005420100	0	0	0	0	0	0
micavibrio aeruginosavorus	0	0	0	0	0	0	0.0975383186251741755689735300	0
polynucleobacter spp.	0	0.0180668473351400180668473400	0	0	0.0989143546441495778045838400	0	0	0
thermicanus aegyptius	0.0267970791183760970054264100	0.0361336946702800361336946700	0.7127173247903243223786040800	0.0436930729674318556111988700	0.01688781664656212303980700	0.0560080278173204826025063600	7.3780771017185322805387830900	0.0381467609932029407684838400
halotalea alkalilenta	0.0870905071347223152676358300	0.1264679313459801264679313500	0	0	0	0	0	0
rhodococcus yunnanensis	0.0267970791183760970054264100	0	0	0.0022406704085862490057025100	0.0024125452352231604342581400	0.0350050173858253016265664700	0.2020436600092893636785880200	0.0104036620890553474823137700
leucobacter luti	0	0	0	0	0	0	0.0069670227589410125406409700	0
synechococcus spp.	0.006699269779594024251356600	0	0	0	0.0072376357056694813027744300	0	0	0
photobacterium phosphoreum	0	0	0	0	0	0.0396723530372686751767753400	0	0
bradyrhizobium sp.	0	0.0180668473351400180668473400	0	0	0.0024125452352231604342581400	0	0.2206223873664653971202972600	0
solobacterium moorei	0	0.0361336946702800361336946700	0	0.0011203352042931245028512500	0	0	0	0
tepidiphilus petrobacter sp.	0	0	0.010798747345307944278463700	0.0044813408171724980114050100	0.0024125452352231604342581400	0.0070010034771650603253132900	0.9126799814212726428239665600	0.0069357747260368983215425200
thiomicrospira spp.	0	0	0	0.0011203352042931245028512500	0	0	0.0534138411518810961449140700	0
sphingomonas faeni	0	0	0	0	0	0	0	0.0138715494520737966430850300
adhaeribacter spp.	0	0	0	0.0011203352042931245028512500	0	0	0	0.0069357747260368983215425200
veillonella sp.	0	0	0	0.0022406704085862490057025100	0	0.0046673356514433735502088600	0.130051091500232234091964700	0
burkholderia ubonensis	0.013398539559188048502713200	0.0722673893405600722673893400	0	0	0	0	0	0.0034678873630184491607712600
actinomadura sp.	0	0	0	0	0	0	0.0371574547143520668834184900	0
actinomyces neuii	0	0	0	0	0	0	0.041802136553646075243845800	0
virgibacillus sp.	0	0	0	0	0	0	0.1602415234556432884347422200	0
bacillus sp.	0.013398539559188048502713200	0.0180668473351400180668473400	0.0251970771390518699830819600	0.0201660336772762410513225600	0.0072376357056694813027744300	0.0140020069543301206506265900	4.7422201579191825359962842500	0.0104036620890553474823137700
daeguia caeni	0	0.0180668473351400180668473400	0.0827903963140275728015550200	0.0011203352042931245028512500	0	0.0023336678257216867751044300	0.3413841151881096144914073400	0
bacteroides dorei	0.006699269779594024251356600	0	0.0035995824484359814261545700	0.0011203352042931245028512500	0	0.0023336678257216867751044300	0.0023223409196470041802136600	0
cyanobacterium spp.	0	0	0	0	0	0	0.0116117045982350209010682800	0
hyphomicrobium facile	0.0200978093387820727540698100	0	0	0	0	0.0303376817343819280763576100	0	0
exiguobacterium panipatensis	0.006699269779594024251356600	0	0.0035995824484359814261545700	0.0011203352042931245028512500	0	0.0023336678257216867751044300	0.1764979098931723176962378100	0
sphingobium sp.	0	0	0	0.0011203352042931245028512500	0	0.1960280973606216891087722600	0.0023223409196470041802136600	0.0034678873630184491607712600
pseudomonas tuomuerense	0	0	0	0	0.0024125452352231604342581400	0.0233366782572168677510443200	0	0
dietzia spp.	0.0401956186775641455081396100	0	0.2483711889420827184046650600	0.0011203352042931245028512500	0.0506634499396863691194209900	0	0.0046446818392940083604273100	0.0069357747260368983215425200
dokdonella sp.	0	0	0	0	0	0.0140020069543301206506265900	0	0
sphingomonas sp.	0.006699269779594024251356600	0	0.021597494690615888556927400	0.0078423464300518715199587700	0.0072376357056694813027744300	1.7642528762455952019789503200	0.0441244774732930794240594500	0.0173394368150922458038562900
rhodopseudomonas palustris	0	0	0	0	0	0	0.2066883418485833720390153300	0
lewinella spp.	0	0.0180668473351400180668473400	0	0.0011203352042931245028512500	0	0.0023336678257216867751044300	0.1997213190896423594983743600	0
stenotrophomonas maltophilia	0.013398539559188048502713200	0.0361336946702800361336946700	0.010798747345307944278463700	0.0044813408171724980114050100	0.4414957780458383594692400500	0.0186693426057734942008354500	0.6781235485369252206223873700	0.0104036620890553474823137700
mycoplana sp.	0	0	0.0071991648968719628523091300	0	0	0.0466733565144337355020886300	0.2090106827682303762192289800	0
lactobacillus pentosus	0	0	0.4463482236060616968431661900	0.0011203352042931245028512500	0.0024125452352231604342581400	0	0.0394797956339990710636321400	0.0034678873630184491607712600
dechloromonas spp.	0	0	0.0251970771390518699830819600	0	0	0	0	0
mesorhizobium spp.	0	0	0	0	0.0289505428226779252110977100	0	0	0
uncultured candidatus microthrix sp.	0	0.1084010840108401084010840100	0	0	0	0	0	0
isoptericola spp.	0	0	0.0179979122421799071307728300	0	0.0024125452352231604342581400	0	0	0.0034678873630184491607712600
enterococcus villorum	0.0535941582367521940108528200	0.0542005420054200542005420100	1.994168676433533710089629600	6.5102678721473464860686317300	0.0313630880579010856453558500	0.0256703460829385545261487500	0.0603808639108221086855550400	0.0450825357192398390900263600
paracoccus denitrificans	0	0	0	0.0033610056128793735085537600	0.0024125452352231604342581400	0.6160883059905253086275699500	0	0
methylophilus spp.	0.006699269779594024251356600	0	0	0	0.0506634499396863691194209900	0	0	0
neisseria sicca	0	0.0361336946702800361336946700	0.0287966595874878514092365300	0	0	0	0	0
conexibacter spp.	0	0	0	0	0.0337756332931242460796139900	0.0046673356514433735502088600	0.0023223409196470041802136600	0
aphanothece stagnina	0	0	0	0	0	0	0.0534138411518810961449140700	0
sphingomonas caulobacter leidyia	0	0	0	0	0.0072376357056694813027744300	0.0210030104314951809759398800	0	0.0069357747260368983215425200
dokdonella spp.	0.006699269779594024251356600	0	0.0035995824484359814261545700	0.0033610056128793735085537600	0.0048250904704463208685162800	0.0046673356514433735502088600	1.0450534138411518810961449100	0.0069357747260368983215425200
deinococcus spp.	0	0	0	0	0	0	0	0.0138715494520737966430850300
clostridium spp.	0	0.0361336946702800361336946700	0.0035995824484359814261545700	0.0011203352042931245028512500	0	0.0046673356514433735502088600	0.6781235485369252206223873700	0.0034678873630184491607712600
flavisolibacter spp.	0	0	0	0.0011203352042931245028512500	0.0916767189384800965018094100	0.0140020069543301206506265900	0.4667905248490478402229447300	0
methylobacterium sp.	0	0	0	0	0	0.0116683391286084338755221600	0	0
burkholderia glathei	0.006699269779594024251356600	0.0180668473351400180668473400	0	0	0.0361881785283474065138721400	0	0.0116117045982350209010682800	0.0104036620890553474823137700
blautia producta	0	0	0	0.0011203352042931245028512500	0	0.0070010034771650603253132900	0	0
corynebacterium lipophiloflavum	0	0	0	0.0011203352042931245028512500	0.0410132689987937273823884200	0	0	0
pedomicrobium spp.	0	0	0	0	0	0	0.1695308871342313051555968400	0
aquimonas sp.	0	0	0	0.0011203352042931245028512500	0	0	0.3158383650719925685090571300	0
olsenella sp.	0	0	0	0	0	0	0.0185787273571760334417092400	0
hymenobacter spp.	0	0	0	0.0011203352042931245028512500	0	0	0.0023223409196470041802136600	0.10750450825357192398390900
adhaeribacter sp.	0	0	0	0.0011203352042931245028512500	0	0.0536743599915987958274019300	0	0
fusobacterium spp.	0	0.0722673893405600722673893400	0	0	0	0	0	0
paludibacter spp.	0.0468948884571581697594962100	0	0	0	0	0.0140020069543301206506265900	0	0
haemophilus influenzae	0.0602934280163462182622094200	0	0	0	0	0	0	0
alkalibacterium iburiense	0	0	0	0	0	0.0326713495601036148514620400	0	0
enhydrobacter aerosaccus	0.013398539559188048502713200	0.3252032520325203252032520300	0	0	0	0	0.0023223409196470041802136600	0.0173394368150922458038562900
lentzea spp.	0	0	0	0.0011203352042931245028512500	0.0361881785283474065138721400	0	0	0
cloacibacterium spp.	0	0.1084010840108401084010840100	0.4895432129872934739570209900	0.0179253632686899920456200500	0.0024125452352231604342581400	0.0046673356514433735502088600	1.1170459823502090106827682300	0.0554861978082951865723401300
blautia ruminococcus gnavus	0.0200978093387820727540698100	0	0	0	0	0	0	0
longilinea spp.	0	0	0.0071991648968719628523091300	0.0100830168386381205256612800	0	0	1.1774268462610311193683232700	0
sphingopyxis sp.	0	0	0	0.0011203352042931245028512500	0	0	0.1439851370181142591732466300	0
burkholderia spp.	0	0.0722673893405600722673893400	0	0	0	0	0.130051091500232234091964700	0
rhodoplanes spp.	0	0	0	0	0	0	0.0394797956339990710636321400	0
enterococcus mundtii	0.006699269779594024251356600	0	0.1007883085562074799323278500	0.0806641347091049642052902200	0	0	0.0023223409196470041802136600	0.0034678873630184491607712600
legionella spp.	0	0	0	0	0	0.0116683391286084338755221600	0	0
candidatus soleaferrea massiliensis	0	0	0	0.0011203352042931245028512500	0	0	0.1764979098931723176962378100	0
xanthomonas sp.	0	0	0.0863899787624635542277095900	0	0	0	0	0
haliscomenobacter spp.	0.006699269779594024251356600	0	0.0035995824484359814261545700	0	0.0024125452352231604342581400	0.0046673356514433735502088600	0.6084533209475150952159777100	0
ethanoligenens spp.	0	0.0722673893405600722673893400	0	0	0	0	0	0.0069357747260368983215425200
alkanindiges illinoisensis	0	0	0	0.0067220112257587470171075200	0	1.0338148467947072413712632100	0.0301904319554110543427775200	0.0034678873630184491607712600
pediococcus pentosaceus	0	0	0	0.0011203352042931245028512500	0	0	0	0.0138715494520737966430850300
lysobacter sp.	0.006699269779594024251356600	0	0.0035995824484359814261545700	0.0033610056128793735085537600	0.0072376357056694813027744300	0.686098340762175911880702900	0	0
blastococcus aggregatus	0	0	0	0	0	0.0070010034771650603253132900	0	0.0104036620890553474823137700
enterococcus rivorum	0	0	0.0323962420359238328353910900	0.052655754601776851634008900	0	0	0	0
devosia submarina	0	0	0	0	0	0.0070010034771650603253132900	0.0023223409196470041802136600	0.0104036620890553474823137700
ruminococcus spp.	0	0	0	0.0011203352042931245028512500	0	0	0.0139340455178820250812819300	0
salinisphaera spp.	0	0.0180668473351400180668473400	0	0	0.0024125452352231604342581400	0.0910130452031457842290728300	0	0.0208073241781106949646275500
corynebacterium diphtheriae	0.0200978093387820727540698100	0.2168021680216802168021680200	0.2447716064936467369785104900	0.0313693857202074860798350900	0.0120627261761158021712907100	0.0070010034771650603253132900	2.5731537389688806316767301400	0.0624219725343320848938826500
arthrobacter spp.	0.0535941582367521940108528200	0.1626016260162601626016260200	0.0251970771390518699830819600	0.0616184362361218476568189200	0.0193003618817852834740651400	0.1446874051947445800564747600	0.1950766372503483511379470500	3.1453738382577333888195311400
gemmobacter rhodobacter changlaii	0	0	0	0.0011203352042931245028512500	0	0.051340692165877109052297500	0	0
gemella sanguinis	0.0535941582367521940108528200	0	0.0035995824484359814261545700	0	0	0	0	0
