identity	1.Nezara.viridula.Infected.Fat.Body	2.Nezara.viridula.Infected.Ovary	3.Nezara.viridula.Infected.Spermatheca	4.Nezara.viridula.Infected.Egg	5.Nezara.viridula.Clean.Fat.Body	6.Nezara.viridula.Clean.Ovary	7.Nezara.viridula.Clean.Spermatheca	8.Nezara.viridula.Clean.Egg	
lactobacillus gallinarum	0	0.0361336946702800361336946700	0.0359971202303815694744420400	0.0067221618472500756243207800	0.0651387213510253317249698400	0	0	0.0450825357192398390900263600
nocardioides caeni	0.013398539559188048502713200	0	0	0	0.0024125452352231604342581400	0	0	0
thermoactinomycetaceae	0	0.1445347786811201445347786800	0	0	0	0	0	0
burkholderiaceae	0.006699269779594024251356600	0.0180668473351400180668473400	0	0	0.0361881785283474065138721400	0	0.0116406304565455265057155500	0.0104036620890553474823137700
pseudomonas putida	0.0267970791183760970054264100	0.0903342366757000903342366800	0	0.0067221618472500756243207800	0.2702050663449939686369119400	0.1423537373690228932813703300	0.5983284054664400623937792500	0.0624219725343320848938826500
salinisphaera spp.	0	0.0180668473351400180668473400	0	0	0.0024125452352231604342581400	0.0910130452031457842290728300	0	0.0208073241781106949646275500
bifidobacterium thermophilum	0	0.0722673893405600722673893400	0.082793376529877609791216700	0.0078425221551250882283742500	0.0579010856453558504221954200	0.0256703460829385545261487500	1.7577351989383745023630479800	0.0069357747260368983215425200
sphingopyxis sp.	0	0	0	0.0011203603078750126040534600	0	0	0.1443438176611645286708728100	0
corynebacterium kroppenstedtii	0	0.0542005420054200542005420100	0.003599712023038156947444200	0	0.0434258142340168878166465600	0	0	0
terrimonas spp.	0	0	0	0	0.0024125452352231604342581400	0	0.1839219612134193187903056800	0
cryomorphaceae	0.0401956186775641455081396100	0	0	0.0033610809236250378121603900	0	0	0.1699532046655646869834470200	0
xanthomonas	0	0	0.0575953923686105111591072700	0	0	0	0	0
flavisolibacter spp.	0	0	0	0.0011203603078750126040534600	0.0916767189384800965018094100	0	0.4679533443531301655297650900	0
eubacterium spp.	0	0	0	0	0.0289505428226779252110977100	0	0	0
photobacterium phosphoreum	0	0	0	0	0	0.0396723530372686751767753400	0	0
alkalibacterium iburiense	0	0	0	0	0	0.0326713495601036148514620400	0	0
blastococcus aggregatus	0	0	0	0	0	0.0070010034771650603253132900	0	0.0104036620890553474823137700
desulfuromonadales	0	0	0	0.0011203603078750126040534600	0	0.0023336678257216867751044300	0.1443438176611645286708728100	0
cytophaga spp.	0	0	0.003599712023038156947444200	0	0.0024125452352231604342581400	0	0.2467813656787651619211696500	0
enterococcaceae	0.0200978093387820727540698100	0	0.3707703383729301655867530600	0.4638291674602552180781339300	0	0.0023336678257216867751044300	0.0023281260913091053011431100	0
williamsia muralis	0	0	0	0	0	0.0326713495601036148514620400	0	0
gammaproteobacteria	0	0	0	0.0011203603078750126040534600	0	0	0.0721719088305822643354364100	0
pseudomonadaceae	0	0	0	0	0	0.1493547408461879536066836200	0	0
pantoea	0.6096335499430562068734507900	0.4155374887082204155374887100	0.003599712023038156947444200	0.012323963386625138644588100	1.3244873341375150784077201400	0.0630090312944855429278196500	0.374828300700765953484040700	0.041614648356221389929255100
cryocola spp.	0.006699269779594024251356600	0.0180668473351400180668473400	0.0359971202303815694744420400	0.0044814412315000504162138500	0.0072376357056694813027744300	0	0.5820315228272763252857774800	0.0589540851713136357331113900
isoptericola spp.	0	0	0.0179985601151907847372210200	0	0.0024125452352231604342581400	0	0	0.0034678873630184491607712600
prosthecobacter debontii	0	0	0	0	0	0.0093346713028867471004177300	0	0
skermanella sp.	0	0	0	0.0044814412315000504162138500	0	0.0093346713028867471004177300	0.0046562521826182106022862200	0.2739631016784574837009293900
variovorax paradoxus	0.0468948884571581697594962100	0.0903342366757000903342366800	0.0359971202303815694744420400	0.0168054046181251890608019500	0.0410132689987937273823884200	0.2100301043149518097593988500	0.0791562871045095802388657400	6.2213899292550977944236371200
pseudoxanthomonas taiwanensis	0.013398539559188048502713200	0.0180668473351400180668473400	0.0575953923686105111591072700	0.0022407206157500252081069300	0.0120627261761158021712907100	0.0070010034771650603253132900	1.1687192978371708611738411800	0.0069357747260368983215425200
dokdonella spp.	0.006699269779594024251356600	0	0.003599712023038156947444200	0.0033610809236250378121603900	0.0048250904704463208685162800	0.0046673356514433735502088600	1.0313598584499336484063976900	0.0034678873630184491607712600
hyphomicrobium spp.	0	0	0.003599712023038156947444200	0.0022407206157500252081069300	0	0	0.2514376178613833725234558700	0.0034678873630184491607712600
paracoccus denitrificans	0	0	0	0.0033610809236250378121603900	0.0024125452352231604342581400	0.6160883059905253086275699500	0	0
enterococcus faecalis	3.4769210156092985864540765100	2.0776874435411020776874435400	82.95536357091432685385169186	81.20595583539666356700314821	0.6272617611580217129071170100	0.3523838416839747030407691800	0.7659534840406956440760831600	0.447357469829379941739492300
candidatus soleaferrea	0	0	0	0.0011203603078750126040534600	0	0	0.1769375829394920028868763500	0
verrucomicrobium	0	0	0.0251979841612670986321094300	0	0	0	0	0
mesorhizobium septentrionale	0	0	0	0	0	0.0116683391286084338755221600	0	0
burkholderia ubonensis	0.013398539559188048502713200	0.0722673893405600722673893400	0	0	0	0	0	0.0034678873630184491607712600
adhaeribacter sp.	0	0	0	0.0011203603078750126040534600	0	0.0536743599915987958274019300	0	0
devosia submarina	0	0	0	0	0	0.0070010034771650603253132900	0.0023281260913091053011431100	0.0104036620890553474823137700
aminobacter niigataensis	0.0736919675755342667649226200	0	0	0	0	0.0420060208629903619518797700	0.093125043652364212045724400	0
xanthomonadaceae	0	0	0	0.0011203603078750126040534600	0	0	0.3166251484180383209554629500	0
fluviicola spp.	0	0	0.0359971202303815694744420400	0	0	0	0	0
kaistobacter spp.	0	0.0542005420054200542005420100	0	0.0011203603078750126040534600	0.1230398069963811821471652600	0	0	0
modestobacter sp.	0	0.0180668473351400180668473400	0	0.0078425221551250882283742500	0	0.0023336678257216867751044300	0.0069843782739273159034293300	0.3155777500346788736301844900
altererythrobacter spp.	0	0	0	0	0.0144752714113389626055488500	0.0256703460829385545261487500	0	0
